'Elapsed time','ECG2'
'seconds','mV'
0.000,-0.160
0.004,-0.160
0.008,-0.140
0.012,-0.140
0.016,-0.150
0.020,-0.135
0.024,-0.110
0.028,-0.110
0.032,-0.135
0.036,-0.120
0.040,-0.100
0.044,-0.115
0.048,-0.115
0.052,-0.130
0.056,-0.115
0.060,-0.105
0.064,-0.120
0.068,-0.125
0.072,-0.120
0.076,-0.115
0.080,-0.120
0.084,-0.150
0.088,-0.145
0.092,-0.150
0.096,-0.170
0.100,-0.150
0.104,-0.155
0.108,-0.165
0.112,-0.155
0.116,-0.165
0.120,-0.170
0.124,-0.170
0.128,-0.195
0.132,-0.175
0.136,-0.200
0.140,-0.180
0.144,-0.170
0.148,-0.165
0.152,-0.185
0.156,-0.200
0.160,-0.200
0.164,-0.200
0.168,-0.200
0.172,-0.195
0.176,-0.195
0.180,-0.180
0.184,-0.200
0.188,-0.200
0.192,-0.185
0.196,-0.200
0.200,-0.205
0.204,-0.200
0.208,-0.215
0.212,-0.185
0.216,-0.200
0.220,-0.230
0.224,-0.205
0.228,-0.200
0.232,-0.185
0.236,-0.185
0.240,-0.180
0.244,-0.175
0.248,-0.130
0.252,-0.100
0.256,-0.070
0.260,-0.075
0.264,-0.075
0.268,-0.070
0.272,-0.045
0.276,-0.040
0.280,-0.040
0.284,-0.085
0.288,-0.130
0.292,-0.150
0.296,-0.150
0.300,-0.210
0.304,-0.205
0.308,-0.225
0.312,-0.210
0.316,-0.220
0.320,-0.215
0.324,-0.225
0.328,-0.240
0.332,-0.230
0.336,-0.225
0.340,-0.240
0.344,-0.265
0.348,-0.255
0.352,-0.220
0.356,-0.210
0.360,-0.250
0.364,-0.250
0.368,-0.255
0.372,-0.240
0.376,-0.255
0.380,-0.255
0.384,-0.250
0.388,-0.230
0.392,-0.250
0.396,-0.240
0.400,-0.260
0.404,-0.310
0.408,-0.375
0.412,-0.335
0.416,-0.205
0.420,0.090
0.424,0.600
0.428,1.100
0.432,1.415
0.436,1.320
0.440,0.740
0.444,0.185
0.448,-0.090
0.452,-0.330
0.456,-0.700
0.460,-0.905
0.464,-0.830
0.468,-0.640
0.472,-0.440
0.476,-0.295
0.480,-0.260
0.484,-0.260
0.488,-0.250
0.492,-0.260
0.496,-0.275
0.500,-0.255
0.504,-0.240
0.508,-0.235
0.512,-0.240
0.516,-0.230
0.520,-0.245
0.524,-0.230
0.528,-0.240
0.532,-0.245
0.536,-0.255
0.540,-0.230
0.544,-0.235
0.548,-0.215
0.552,-0.215
0.556,-0.225
0.560,-0.245
0.564,-0.230
0.568,-0.225
0.572,-0.230
0.576,-0.230
0.580,-0.200
0.584,-0.210
0.588,-0.200
0.592,-0.185
0.596,-0.185
0.600,-0.190
0.604,-0.175
0.608,-0.180
0.612,-0.170
0.616,-0.185
0.620,-0.160
0.624,-0.150
0.628,-0.140
0.632,-0.150
0.636,-0.135
0.640,-0.110
0.644,-0.105
0.648,-0.145
0.652,-0.120
0.656,-0.100
0.660,-0.090
0.664,-0.070
0.668,-0.050
0.672,-0.045
0.676,-0.030
0.680,-0.040
0.684,-0.035
0.688,-0.020
0.692,-0.020
0.696,-0.015
0.700,-0.010
0.704,-0.010
0.708,-0.015
0.712,-0.020
0.716,-0.005
0.720,-0.005
0.724,-0.020
0.728,-0.015
0.732,0.005
0.736,0.000
0.740,-0.005
0.744,0.015
0.748,0.015
