'Elapsed time','ECG2'
'seconds','mV'
0.000,-0.025
0.008,-0.035
0.016,-0.025
0.023,-0.015
0.031,-0.005
0.039,-0.015
0.047,-0.005
0.055,0.015
0.062,0.025
0.070,0.055
0.078,0.065
0.086,0.075
0.094,0.105
0.102,0.115
0.109,0.135
0.117,0.145
0.125,0.135
0.133,0.115
0.141,0.095
0.148,0.085
0.156,0.075
0.164,0.065
0.172,0.055
0.180,0.045
0.188,0.025
0.195,-0.005
0.203,-0.025
0.211,-0.055
0.219,-0.075
0.227,-0.085
0.234,-0.075
0.242,-0.065
0.250,-0.065
0.258,-0.075
0.266,-0.065
0.273,-0.055
0.281,-0.055
0.289,-0.065
0.297,-0.075
0.305,-0.055
0.312,-0.065
0.320,-0.055
0.328,-0.065
0.336,-0.075
0.344,-0.075
0.352,-0.065
0.359,-0.065
0.367,-0.025
0.375,-0.005
0.383,0.005
0.391,0.005
0.398,0.005
0.406,-0.005
0.414,-0.005
0.422,-0.035
0.430,-0.065
0.438,-0.065
0.445,-0.105
0.453,-0.105
0.461,-0.105
0.469,-0.105
0.477,-0.115
0.484,-0.105
0.492,-0.115
0.500,-0.115
0.508,-0.105
0.516,-0.075
0.523,-0.035
0.531,-0.085
0.539,-0.505
0.547,-1.045
0.555,-0.985
0.562,-0.495
0.570,-0.145
0.578,-0.025
0.586,-0.005
0.594,-0.005
0.602,-0.005
0.609,-0.005
0.617,-0.005
0.625,0.015
0.633,0.015
0.641,0.005
0.648,0.025
0.656,0.035
0.664,0.025
0.672,0.055
0.680,0.055
0.688,0.075
0.695,0.075
0.703,0.105
0.711,0.115
0.719,0.125
0.727,0.145
0.734,0.155
0.742,0.155
0.750,0.145
0.758,0.115
0.766,0.095
0.773,0.085
0.781,0.065
0.789,0.055
0.797,0.045
0.805,0.065
0.812,0.045
0.820,0.015
0.828,-0.015
0.836,-0.035
0.844,-0.045
0.852,-0.055
0.859,-0.055
0.867,-0.045
0.875,-0.055
0.883,-0.055
0.891,-0.045
0.898,-0.045
0.906,-0.035
0.914,-0.055
0.922,-0.055
0.930,-0.045
0.938,-0.045
0.945,-0.055
0.953,-0.065
0.961,-0.065
0.969,-0.065
0.977,-0.075
0.984,-0.065
0.992,-0.045
1.000,-0.005
1.008,0.005
1.016,0.005
1.023,0.005
1.031,-0.015
1.039,-0.005
1.047,-0.005
1.055,-0.055
1.062,-0.085
1.070,-0.075
1.078,-0.115
1.086,-0.125
1.094,-0.135
1.102,-0.135
1.109,-0.135
1.117,-0.125
1.125,-0.135
1.133,-0.145
1.141,-0.105
1.148,-0.065
1.156,-0.005
1.164,-0.355
1.172,-0.795
1.180,-1.335
1.188,-1.015
1.195,-0.405
1.203,-0.085
1.211,-0.005
1.219,-0.025
1.227,-0.035
1.234,-0.045
1.242,-0.025
1.250,-0.015
1.258,-0.025
1.266,-0.025
1.273,-0.005
1.281,0.005
1.289,0.005
1.297,0.015
1.305,0.035
1.312,0.065
1.320,0.075
1.328,0.085
1.336,0.095
1.344,0.125
1.352,0.145
1.359,0.165
1.367,0.155
1.375,0.175
